scientific_name_as_entered,common_name,updated_scientific_name,adjustment_type,reason, who,date,comments
Moticilla alba lugens,White Wagtail (Black-Backed),Motacilla alba lugens,CHANGE TO CLOSEST MATCH,0.901587302,,,
Parkesia noveboracensis notabilis,Northern Waterthrush,Parkesia noveboracensis,CHANGE TO CLOSEST MATCH,"No subspecies, following Eaton  (1957a) and Molina et al. (2000). Common name in int.raw is Northern Waterthrush.",,,
Columbina livia,Rock Dove,Columba livia,TYPO,KEEP ORIGINAL but edit it. This is Rock Dove which is also known as Rock # Pigeon. Should be Columba livia. TaxaDB says Columbina livia = Columbina inca 0.886,,,
Setophaga striata / tigrina,,Setophaga striata / tigrina,,,,,
Anthus americanus,American Pipit,Anthus rubescens,?? this is not keeping the original ,"KEEP ORIGINAL but edit it. BOW and checklist: Polytypic American Pipit Anthus rubescens is split into monotypic Siberian Pipit Anthus japonicus and # polytypic American Pipit Anthus rubescens (with subspecies pacificus, # rubescens, and alticola). int.raw interaction appears to be for North american # species and observation (Parasitic Jaeger). Interaction is with American Pipit; checklist states Anthus rubescens.  taxadb: Anthus americanus   Anthus cervinus 0.871",,,
Anas affinis,Lesser Scaup,Aythya affinis,?? this is not keeping the original ,KEEP ORIGINAL and edit: checklist: Lesser Scaup = Aythya affinis 5 Anas affinis-> Argya affinis Lesser Scaup Lesser Scaup 0.868,,,
Leucophaeus villosus,Hairy Woodpecker,Dryobates villosus,TYPO,,,,
Chrysococcyx meyerii,White-Eared Bronze-Cuckoo,Chalcites meyerii,???,,,,
Phalacrocorax saltatrix,Double-Crested Cormorant,Nannopterum auritum,???,checklist: Double-Crested Cormorant = Nannopterum auritum,,,
Stercorarius stercorarius,,Stercorarius pomarinus,KEEP ORIGINAL but edit,checklist: Pomarine Jaeger = Stercorarius pomarinus Also raw has space at end Stercorarius stercorarius  5 Stercorarius stercorarius Stercorarius parasiticus    Pomarine Jaeger     Pomarine Jaeger  0.857,,,
Anas flavirostris / anas andium,,Anas andium/flavirostris,KEEP ORIGINAL and edit,According to BOW there is no Anas flavirostris / anas andium. Common name in int.raw is Speckled Teal but checklist is Andean/Yellow-billed Teal. ,,,
Hirundo mexicanus,House Finch,Haemorhous mexicanus,KEEP ORIGINAL and edit,,,,
Accipiter cooperi,,Accipiter cooperii,KEEP ORIGINAL and edit,Checklist shows genus moved to Astur,,,
unid. 2 hawl,,Aerospiza/Tachyspiza/Accipiter/Astur sp.,TYPO and edit to use relevant genera,"relevant ""hawk"" genera of the region",,,
unid. Accipiter hawl,,Aerospiza/Tachyspiza/Accipiter/Astur sp.,TYPO and edit to use relevant genera,"relevant ""hawk"" genera of the region",,,
unid. Accipiter hawk,,Aerospiza/Tachyspiza/Accipiter/Astur sp.,edit to use relevant genera,,,,
unid. 2 hawk,,Aerospiza/Tachyspiza/Accipiter/Astur sp.,edit to use relevant genera,,,,
Moticilla alba,White Wagtail,Motacilla alba,TYPO,matched using common name  White Wagtail,,,
Anas flavirostris / anas andium,,Anas andium/flavirostris,KEEP ORIGINAL and edit,According to BOW there is no Anas flavirostris / anas andium. Common name in int.raw is Speckled Teal but checklist is Andean/Yellow-billed Teal. ,,,
Accipiter atricapillus,American Goshawk,Astur atricapillus,KEEP ORIGINAL and edit,Listed as American Goshawk; KEEP ORIGINAL and edit to Astur :  Accipiter atricapillus Astur cooperii/atricapillus  0.839,,,
Argya affinis somervillei,,Argya striata somervillei,KEEP ORIGINAL and edit,,,,
Accipiter getilis,,Astur atricapillus,KEEP ORIGINAL and edit,,,,
,,,CHANGE TO CLOSEST MATCH,,,,
,,,TAXADB GBIF CLOSEST MATCH,,,,
